Time (s),Velocity (m/s),Gamma (rad),Altitude (m),G-force,Angle of Attack (rad),AoA Adjustment (rad)
215,215,[6266.60096922],[0.02753887],[110435.13813473],[1.64416317],[-0.64516476],[-0.06451648]
216,216,[6266.32154526],[0.0269397],[110607.69140303],[1.6434805],[-0.64509503],[-0.0645095]
217,217,[6266.04827714],[0.02634035],[110776.48382094],[1.64280054],[-0.64502565],[-0.06450256]
218,218,[6265.78115019],[0.0257408],[110941.51461946],[1.64212319],[-0.64495661],[-0.06449566]
219,219,[6265.52015079],[0.02514108],[111102.78305631],[1.64144834],[-0.6448879],[-0.06448879]
220,220,[6265.26526633],[0.02454118],[111260.28841484],[1.64077589],[-0.6448195],[-0.06448195]
221,221,[6265.01648508],[0.02394111],[111414.03000304],[1.64010576],[-0.6447514],[-0.06447514]
222,222,[6264.77379614],[0.02334088],[111564.00715264],[1.63943787],[-0.64468358],[-0.06446836]
223,223,[6264.53718935],[0.02274049],[111710.21921821],[1.63877214],[-0.64461604],[-0.0644616]
224,224,[6264.30665524],[0.02213994],[111852.66557644],[1.63810851],[-0.64454876],[-0.06445488]
225,225,[6264.08218499],[0.02153924],[111991.34562539],[1.63744692],[-0.64448173],[-0.06444817]
226,226,[6263.86377032],[0.0209384],[112126.25878385],[1.6367873],[-0.64441496],[-0.0644415]
227,227,[6263.65140352],[0.02033742],[112257.4044907],[1.63612962],[-0.64434842],[-0.06443484]
228,228,[6263.44507735],[0.0197363],[112384.78220439],[1.63547382],[-0.64428211],[-0.06442821]
229,229,[6263.244785],[0.01913505],[112508.3914024],[1.63481985],[-0.64421602],[-0.0644216]
230,230,[6263.0505201],[0.01853367],[112628.23158076],[1.63416768],[-0.64415015],[-0.06441502]
231,231,[6262.86227664],[0.01793217],[112744.30225362],[1.63351728],[-0.6440845],[-0.06440845]
232,232,[6262.68004896],[0.01733055],[112856.6029528],[1.6328686],[-0.64401905],[-0.06440191]
233,233,[6262.5038317],[0.01672882],[112965.13322748],[1.63222161],[-0.6439538],[-0.06439538]
234,234,[6262.33361982],[0.01612698],[113069.89264378],[1.63157629],[-0.64388875],[-0.06438888]
235,235,[6262.16940852],[0.01552503],[113170.88078446],[1.63093261],[-0.6438239],[-0.06438239]
236,236,[6262.01119326],[0.01492298],[113268.09724865],[1.63029055],[-0.64375923],[-0.06437592]
237,237,[6261.85896972],[0.01432083],[113361.54165151],[1.62965008],[-0.64369475],[-0.06436948]
238,238,[6261.71273377],[0.01371859],[113451.21362403],[1.62901119],[-0.64363045],[-0.06436305]
239,239,[6261.57248148],[0.01311626],[113537.11281273],[1.62837385],[-0.64356634],[-0.06435663]
240,240,[6261.4382091],[0.01251384],[113619.23887949],[1.62773805],[-0.64350239],[-0.06435024]
241,241,[6261.309913],[0.01191135],[113697.59150133],[1.62710377],[-0.64343863],[-0.06434386]
242,242,[6261.18758973],[0.01130877],[113772.17037018],[1.62647101],[-0.64337504],[-0.0643375]
243,243,[6261.07123593],[0.01070612],[113842.97519278],[1.62583974],[-0.64331161],[-0.06433116]
244,244,[6260.96084838],[0.0101034],[113910.00569043],[1.62520995],[-0.64324836],[-0.06432484]
245,245,[6260.85642396],[0.00950061],[113973.2615989],[1.62458165],[-0.64318527],[-0.06431853]
246,246,[6260.75795961],[0.00889776],[114032.74266828],[1.6239548],[-0.64312235],[-0.06431223]
247,247,[6260.6654524],[0.00829485],[114088.44866282],[1.62332942],[-0.64305959],[-0.06430596]
248,248,[6260.57889943],[0.00769189],[114140.37936085],[1.62270549],[-0.64299699],[-0.0642997]
249,249,[6260.49829788],[0.00708887],[114188.53455465],[1.622083],[-0.64293456],[-0.06429346]
250,250,[6260.42364498],[0.00648581],[114232.91405036],[1.62146195],[-0.64287228],[-0.06428723]
251,251,[6260.354938],[0.0058827],[114273.5176679],[1.62084234],[-0.64281017],[-0.06428102]
252,252,[6260.29217426],[0.00527955],[114310.34524085],[1.62022415],[-0.64274821],[-0.06427482]
253,253,[6260.23535108],[0.00467637],[114343.39661642],[1.6196074],[-0.64268642],[-0.06426864]
254,254,[6260.18446583],[0.00407315],[114372.67165537],[1.61899208],[-0.64262478],[-0.06426248]
255,255,[6260.13951588],[0.0034699],[114398.17023193],[1.61837817],[-0.64256329],[-0.06425633]
256,256,[6260.10049862],[0.00286662],[114419.89223378],[1.6177657],[-0.64250197],[-0.0642502]
257,257,[6260.06741142],[0.00226333],[114437.83756197],[1.61715465],[-0.6424408],[-0.06424408]
258,258,[6260.04025165],[0.00166001],[114452.00613094],[1.61654502],[-0.64237979],[-0.06423798]
259,259,[6260.01901669],[0.00105668],[114462.39786841],[1.61593682],[-0.64231894],[-0.06423189]
260,260,[6260.00370387],[0.00045334],[114469.01271542],[1.61533005],[-0.64225824],[-0.06422582]
261,261,[6259.99431051],[-0.00015001],[114471.85062628],[1.61472471],[-0.6421977],[-0.06421977]
262,262,[6259.99083391],[-0.00075336],[114470.91156855],[1.61412081],[-0.64213732],[-0.06421373]
263,263,[6259.99327131],[-0.00135672],[114466.19552307],[1.61351834],[-0.6420771],[-0.06420771]
264,264,[6260.00161992],[-0.00196007],[114457.70248392],[1.61291732],[-0.64201704],[-0.0642017]
265,265,[6260.01587691],[-0.00256341],[114445.43245844],[1.61231774],[-0.64195713],[-0.06419571]
